Train_No,Origin_Code,Origin_Station,Destination_Code,Destination_Station,Total_Distance,Total_Stations,Number_of_Stops,Departure_Minutes,Arrival_Minutes,Journey_Duration_Minutes,Journey_Duration_Hours
14042,DDN,DEHRA DUN,DEE,DELHI-SARAI,338.0,20,18,1280,510,670,11.17
14043,KTW,KOTDWARA,DLI,DELHI JN.,237.0,13,11,910,1340,430,7.17
14044,DLI,DELHI JN.,KTW,KOTDWARA,237.0,13,11,440,870,430,7.17
14055,DBRG,DIBRUGARH,DLI,DELHI JN.,2578.0,62,60,1405,365,3280,54.67
14056,DLI,DELHI JN.,DBRG,DIBRUGARH,2579.0,61,59,1420,265,3165,52.75
14085,TKJ,TILAK BRIDGE,SSA,SIRSA,263.0,20,18,1080,40,400,6.67
14086,SSA,SIRSA,TKJ,TILAK BRIDGE,263.0,20,18,210,598,388,6.47
14095,DEE,DELHI-SARAI,KLK,KALKA,269.0,14,12,335,670,335,5.58
14096,KLK,KALKA,DEE,DELHI-SARAI,269.0,15,13,1015,1360,345,5.75
14101,PRG,PRAYAG JN.,CNB,KANPUR CENTR,208.0,13,11,995,1250,255,4.25
14102,CNB,KANPUR CENTR,PRG,PRAYAG JN.,208.0,13,11,580,880,300,5.0
14109,CKTD,CHITRAKUTDHA,CNB,KANPUR CENTR,213.0,12,10,900,1205,305,5.08
14110,CNB,KANPUR CENTR,CKTD,CHITRAKUTDHA,213.0,12,10,610,875,265,4.42
14113,ALJN,ALIGARH JN.,DDN,DEHRA DUN,360.0,15,13,210,790,580,9.67
14114,DDN,DEHRA DUN,ALJN,ALIGARH JN.,360.0,16,14,800,1345,545,9.08
14115,ALD,ALLAHABAD JN,HW,HARIDWAR JN,724.0,15,13,1425,825,840,14.0
14116,HW,HARIDWAR JN,ALD,ALLAHABAD JN,724.0,15,13,965,425,900,15.0
14117,ALD,ALLAHABAD JN,BST,BASTI,263.0,10,8,270,680,410,6.83
14118,BST,BASTI,ALD,ALLAHABAD JN,263.0,10,8,810,1230,420,7.0
14119,KGM,KATHGODAM,DDN,DEHRA DUN,335.0,11,9,1185,260,515,8.58
14120,DDN,DEHRA DUN,KGM,KATHGODAM,335.0,11,9,1375,430,495,8.25
14123,PBH,PARTAPGARH J,CNB,KANPUR CENTR,246.0,15,13,275,580,305,5.08
14124,CNB,KANPUR CENTR,PBH,PARTAPGARH J,246.0,15,13,1055,1380,325,5.42
14125,ALD,ALLAHABAD JN,MUR,MANKAPUR JN.,202.0,15,13,1095,65,410,6.83
14126,MUR,MANKAPUR JN.,ALD,ALLAHABAD JN,202.0,15,13,165,520,355,5.92
14151,CNB,KANPUR CENTR,ANVT,ANAND VIHAR,429.0,13,11,470,1100,630,10.5
14152,ANVT,ANAND VIHAR,CNB,KANPUR CENTR,478.0,13,11,1185,450,705,11.75
14163,ALD,ALLAHABAD JN,MTC,MEERUT CITY,629.0,30,28,1065,400,775,12.92
14164,MTC,MEERUT CITY,ALD,ALLAHABAD JN,629.0,24,22,1140,490,790,13.17
14201,JNU,JAUNPUR JN.,RBL,RAE BARELI J,197.0,11,9,980,1300,320,5.33
14202,RBL,RAE BARELI J,JNU,JAUNPUR JN.,197.0,11,9,405,725,320,5.33
14203,BSB,VARANASI JN.,LKO,LUCKNOW JN.,301.0,14,12,980,1330,350,5.83
14204,LKO,LUCKNOW JN.,BSB,VARANASI JN.,301.0,14,12,420,810,390,6.5
14205,FD,FAIZABAD JN.,DLI,DELHI JN.,614.0,11,9,1045,340,735,12.25
14206,DLI,DELHI JN.,FD,FAIZABAD JN.,614.0,11,9,1105,440,775,12.92
14207,PBH,PARTAPGARH J,DLI,DELHI JN.,659.0,16,14,1020,405,825,13.75
14208,DLI,DELHI JN.,PBH,PARTAPGARH J,659.0,16,14,1190,500,750,12.5
14209,PRG,PRAYAG JN.,LKO,LUCKNOW JN.,194.0,8,6,940,1165,225,3.75
14210,LKO,LUCKNOW JN.,PRG,PRAYAG JN.,194.0,8,6,450,690,240,4.0
14211,AGC,AGRA CANTT,NDLS,NEW DELHI,188.0,18,16,360,620,260,4.33
14212,NDLS,NEW DELHI,AGC,AGRA CANTT,191.0,18,16,1055,1325,270,4.5
14213,BSB,VARANASI JN.,GD,GONDA JN.,254.0,12,10,855,1215,360,6.0
14214,GD,GONDA JN.,BSB,VARANASI JN.,255.0,12,10,415,820,405,6.75
14215,ALD,ALLAHABAD JN,LKO,LUCKNOW JN.,200.0,11,9,360,610,250,4.17
14216,LKO,LUCKNOW JN.,ALD,ALLAHABAD JN,200.0,11,9,1080,1345,265,4.42
14217,PRG,PRAYAG JN.,CDG,CHANDIGARH,875.0,41,39,845,565,1160,19.33
14218,CDG,CHANDIGARH,PRG,PRAYAG JN.,875.0,40,38,1000,655,1095,18.25
14219,BSB,VARANASI JN.,LKO,LUCKNOW JN.,301.0,12,10,310,685,375,6.25
14220,LKO,LUCKNOW JN.,BSB,VARANASI JN.,301.0,12,10,775,1225,450,7.5
14221,FD,FAIZABAD JN.,CPA,KANPUR ANWAR,203.0,9,7,305,620,315,5.25
14222,CPA,KANPUR ANWAR,FD,FAIZABAD JN.,203.0,9,7,775,1080,305,5.08
14227,BSB,VARANASI JN.,LKO,LUCKNOW JN.,276.0,13,11,285,590,305,5.08
14228,LKO,LUCKNOW JN.,BSB,VARANASI JN.,276.0,12,10,1070,1410,340,5.67
14235,BSB,VARANASI JN.,BE,BAREILLY JN.,558.0,48,46,1420,860,880,14.67
14236,BE,BAREILLY JN.,BSB,VARANASI JN.,558.0,45,43,935,410,915,15.25
14257,BSB,VARANASI JN.,NDLS,NEW DELHI,793.0,32,30,840,375,975,16.25
14258,NDLS,NEW DELHI,BSB,VARANASI JN.,793.0,34,32,695,275,1020,17.0
14260,LKO,LUCKNOW JN.,MGS,MUGHAL SARAI,319.0,8,6,1415,395,420,7.0
14265,BSB,VARANASI JN.,DDN,DEHRA DUN,845.0,49,47,505,390,1325,22.08
14266,DDN,DEHRA DUN,BSB,VARANASI JN.,845.0,51,49,1095,935,1280,21.33
14307,PRG,PRAYAG JN.,BE,BAREILLY JN.,460.0,41,39,1335,655,760,12.67
14308,BE,BAREILLY JN.,PRG,PRAYAG JN.,460.0,40,38,1035,335,740,12.33
14309,UJN,UJJAIN JN,DDN,DEHRA DUN,1226.0,30,28,900,1180,1720,28.67
14310,DDN,DEHRA DUN,UJN,UJJAIN JN,1228.0,30,28,350,545,1635,27.25
14311,BE,BAREILLY JN.,BHUJ,NEW BHUJ,1543.0,46,44,360,840,1920,32.0
14312,BHUJ,NEW BHUJ,BE,BAREILLY JN.,1540.0,45,43,760,1235,1915,31.92
14313,LTT,LOKMANYA TIL,BE,BAREILLY JN.,1592.0,26,24,485,930,1885,31.42
14314,BE,BAREILLY JN.,LTT,LOKMANYA TIL,1591.0,27,25,660,1200,1980,33.0
14315,BE,BAREILLY JN.,NDLS,NEW DELHI,257.0,16,14,275,615,340,5.67
14316,NDLS,NEW DELHI,BE,BAREILLY JN.,257.0,16,14,995,1310,315,5.25
14317,INDB,INDORE BG,DDN,DEHRA DUN,1165.0,30,28,900,1180,1720,28.67
14318,DDN,DEHRA DUN,INDB,INDORE BG,1168.0,30,28,350,400,1490,24.83
14319,INDB,INDORE BG,BE,BAREILLY JN.,1021.0,19,17,1010,930,1360,22.67
14320,BE,BAREILLY JN.,INDB,INDORE BG,1020.0,19,17,660,665,1445,24.08
14321,BE,BAREILLY JN.,BHUJ,NEW BHUJ,1409.0,46,44,360,570,1650,27.5
14322,BHUJ,NEW BHUJ,BE,BAREILLY JN.,1407.0,45,43,1025,1235,1650,27.5
14323,NDLS,NEW DELHI,ROK,ROHTAK JN.,71.0,6,4,635,775,140,2.33
14324,ROK,ROHTAK JN.,NDLS,NEW DELHI,71.0,6,4,855,960,105,1.75
14369,SGRL,SINGRAULI,BE,BAREILLY JN.,722.0,36,34,980,755,1215,20.25
14370,BE,BAREILLY JN.,SGRL,SINGRAULI,722.0,36,34,730,455,1165,19.42
14371,BRWD,BARWADIH JN,CPU,CHOPAN,201.0,10,8,780,1035,255,4.25
14372,CPU,CHOPAN,BRWD,BARWADIH JN,201.0,10,8,355,645,290,4.83
14501,BTI,BATHINDA JN,JAT,JAMMU TAWI,523.0,13,11,1250,445,635,10.58
14502,JAT,JAMMU TAWI,BTI,BATHINDA JN,523.0,13,11,1395,620,665,11.08
14503,KLK,KALKA,SVDK,SHRI MATA VA,479.0,10,8,1140,275,575,9.58
14504,SVDK,SHRI MATA VA,KLK,KALKA,479.0,10,8,1280,470,630,10.5
14505,ASR,AMRITSAR JN.,NLDM,NANGAL DAM,286.0,11,9,845,1190,345,5.75
14506,NLDM,NANGAL DAM,ASR,AMRITSAR JN.,286.0,12,10,445,800,355,5.92
14511,ALD,ALLAHABAD JN,SRE,SAHARANPUR J,773.0,29,27,1060,715,1095,18.25
14512,SRE,SAHARANPUR J,ALD,ALLAHABAD JN,773.0,28,26,1010,595,1025,17.08
14519,DLI,DELHI JN.,BTI,BATHINDA JN,335.0,19,17,890,1340,450,7.5
14520,BTI,BATHINDA JN,DLI,DELHI JN.,335.0,19,17,415,850,435,7.25
14521,DLI,DELHI JN.,UMB,AMBALA CANTT,261.0,14,12,790,1125,335,5.58
14522,UMB,AMBALA CANTT,DLI,DELHI JN.,261.0,14,12,340,700,360,6.0
14523,BJU,BARAUNI JN.,UMB,AMBALA CANTT,1295.0,21,19,300,475,1615,26.92
14524,UMB,AMBALA CANTT,BJU,BARAUNI JN.,1296.0,21,19,1365,130,1645,27.42
14525,UMB,AMBALA CANTT,SGNR,SHRI GANGANA,314.0,15,13,315,720,405,6.75
14526,SGNR,SHRI GANGANA,UMB,AMBALA CANTT,314.0,15,13,840,1255,415,6.92
14545,FN,FARUKHNAGAR,SRE,SAHARANPUR J,212.0,27,25,790,1285,495,8.25
14546,SRE,SAHARANPUR J,FN,FARUKHNAGAR,203.0,27,25,365,760,395,6.58
14553,DLI,DELHI JN.,AADR,AMB  ANDAURA,398.0,28,26,1375,525,590,9.83
14554,AADR,AMB  ANDAURA,DLI,DELHI JN.,398.0,26,24,1210,330,560,9.33
14555,BE,BAREILLY JN.,DLI,DELHI JN.,271.0,21,19,850,1305,455,7.58
14556,DLI,DELHI JN.,BE,BAREILLY JN.,271.0,21,19,360,785,425,7.08
14601,FZR,FIROZPUR CAN,SGNR,SHRI GANGANA,184.0,10,8,310,535,225,3.75
14602,SGNR,SHRI GANGANA,FZR,FIROZPUR CAN,184.0,10,8,730,995,265,4.42
14603,SHC,SAHARSA JN.,ASR,AMRITSAR JN.,1568.0,33,31,985,175,2070,34.5
14604,ASR,AMRITSAR JN.,SHC,SAHARSA JN.,1571.0,33,31,790,1200,1850,30.83
14609,RKSH,RISHIKESH,SVDK,SHRI MATA VA,635.0,22,20,985,390,845,14.08
14610,SVDK,SHRI MATA VA,RKSH,RISHIKESH,635.0,22,20,980,515,975,16.25
14611,GCT,GHAZIPUR CIT,SVDK,SHRI MATA VA,1385.0,14,12,510,755,1685,28.08
14613,CDG,CHANDIGARH,FZR,FIROZPUR CAN,236.0,8,6,990,1290,300,5.0
14614,FZR,FIROZPUR CAN,CDG,CHANDIGARH,236.0,8,6,420,705,285,4.75
14615,LKU,LALKUA JN.,ASR,AMRITSAR JN.,661.0,18,16,1395,915,960,16.0
14616,ASR,AMRITSAR JN.,LKU,LALKUA JN.,661.0,18,16,355,1225,870,14.5
14623,CWA,CHHINWARA JN,DEE,DELHI-SARAI,1027.0,23,21,615,375,1200,20.0
14624,DEE,DELHI-SARAI,CWA,CHHINWARA JN,1029.0,23,21,740,590,1290,21.5
14625,DEE,DELHI-SARAI,FZR,FIROZPUR CAN,382.0,18,16,405,855,450,7.5
14626,FZR,FIROZPUR CAN,DEE,DELHI-SARAI,382.0,18,16,260,700,440,7.33
14629,LDH,LUDHIANA JN.,FZR,FIROZPUR CAN,123.0,9,7,430,585,155,2.58
14630,FZR,FIROZPUR CAN,LDH,LUDHIANA JN.,123.0,9,7,1060,1210,150,2.5
14631,DDN,DEHRA DUN,ASR,AMRITSAR JN.,462.0,27,25,1140,450,750,12.5
14632,ASR,AMRITSAR JN.,DDN,DEHRA DUN,462.0,29,27,1330,635,745,12.42
14633,ASR,AMRITSAR JN.,PTK,PATHANKOT JN,106.0,7,5,555,705,150,2.5
14634,PTK,PATHANKOT JN,ASR,AMRITSAR JN.,106.0,7,5,850,1000,150,2.5
14645,DLI,DELHI JN.,JAT,JAMMU TAWI,639.0,29,27,950,325,815,13.58
14646,JAT,JAMMU TAWI,DLI,DELHI JN.,639.0,28,26,1260,655,835,13.92
14649,JYG,JAYNAGAR,ASR,AMRITSAR JN.,1668.0,63,61,435,1435,2440,40.67
14650,ASR,AMRITSAR JN.,JYG,JAYNAGAR,1669.0,58,56,715,75,2240,37.33
14659,DLI,DELHI JN.,JSM,JAISALMER,919.0,39,37,1055,705,1090,18.17
14660,JSM,JAISALMER,DLI,DELHI JN.,919.0,39,37,1005,675,1110,18.5
14661,JU,JODHPUR JN.,BME,BARMER,209.0,8,6,330,570,240,4.0
14662,BME,BARMER,JU,JODHPUR JN.,209.0,8,6,1080,1335,255,4.25
14673,JYG,JAYNAGAR,ASR,AMRITSAR JN.,1650.0,58,56,435,1435,2440,40.67
14674,ASR,AMRITSAR JN.,JYG,JAYNAGAR,1653.0,58,56,715,75,2240,37.33
14681,NDLS,NEW DELHI,JUC,JALANDHAR CI,438.0,21,19,885,1430,545,9.08
14682,JUC,JALANDHAR CI,NDLS,NEW DELHI,438.0,21,19,250,775,525,8.75
14703,JSM,JAISALMER,LGH,LALGARH JN.,314.0,14,12,600,995,395,6.58
14704,LGH,LALGARH JN.,JSM,JAISALMER,314.0,14,12,440,820,380,6.33
14707,BKN,BIKANER JN.,BDTS,BANDRA TERMI,1211.0,34,32,570,580,1450,24.17
14708,BDTS,BANDRA TERMI,BKN,BIKANER JN.,1209.0,34,32,905,935,1470,24.5
14709,BKN,BIKANER JN.,PURI,PURI,2094.0,31,29,1025,585,2440,40.67
14710,PURI,PURI,BKN,BIKANER JN.,2091.0,31,29,390,1320,2370,39.5
14711,HW,HARIDWAR JN,SGNR,SHRI GANGANA,471.0,21,19,855,5,590,9.83
14712,SGNR,SHRI GANGANA,HW,HARIDWAR JN,471.0,21,19,250,810,560,9.33
14713,SGNR,SHRI GANGANA,JAT,JAMMU TAWI,534.0,15,13,885,155,710,11.83
14714,JAT,JAMMU TAWI,SGNR,SHRI GANGANA,534.0,15,13,330,1080,750,12.5
14715,HSR,HISAR JN,HW,HARIDWAR JN,445.0,10,8,270,920,650,10.83
14716,HW,HARIDWAR JN,HSR,HISAR JN,445.0,10,8,980,120,580,9.67
14717,BKN,BIKANER JN.,HW,HARIDWAR JN,751.0,14,12,1385,920,975,16.25
14718,HW,HARIDWAR JN,BKN,BIKANER JN.,751.0,14,12,980,475,935,15.58
14723,CNB,KANPUR CENTR,BNW,BHIWANI JN.,604.0,31,29,1045,580,975,16.25
14724,BNW,BHIWANI JN.,CNB,KANPUR CENTR,605.0,30,28,1115,670,995,16.58
14731,DLI,DELHI JN.,FKA,FAZILKA JN.,521.0,29,27,860,60,640,10.67
14732,FKA,FAZILKA JN.,DLI,DELHI JN.,521.0,29,27,120,765,645,10.75
14795,BNW,BHIWANI JN.,PNP,PANIPAT JN.,108.0,6,4,270,415,145,2.42
14796,PNP,PANIPAT JN.,BNW,BHIWANI JN.,108.0,6,4,1240,1400,160,2.67
14801,JU,JODHPUR JN.,INDB,INDORE BG,735.0,41,39,420,1380,960,16.0
14803,BGKT,BHAGAT-KI-KO,ADI,AHMEDABAD,479.0,17,15,625,1200,575,9.58
14804,ADI,AHMEDABAD,BGKT,BHAGAT-KI-KO,479.0,17,15,1260,420,600,10.0
14805,YPR,YESVANTPUR J,BME,BARMER,2242.0,38,36,630,480,2730,45.5
14806,BME,BARMER,YPR,YESVANTPUR J,2240.0,37,35,60,195,3015,50.25
14807,JP,JAIPUR JN.,AWR,ALWAR JN.,150.0,10,8,595,770,175,2.92
14808,AWR,ALWAR JN.,JP,JAIPUR JN.,150.0,10,8,860,1065,205,3.42
14809,JSM,JAISALMER,JU,JODHPUR JN.,300.0,11,9,405,765,360,6.0
14810,JU,JODHPUR JN.,JSM,JAISALMER,300.0,11,9,1410,360,390,6.5
14811,SIKR,SIKAR JN.,DEE,DELHI-SARAI,291.0,12,10,860,1260,400,6.67
14812,DEE,DELHI-SARAI,SIKR,SIKAR JN.,291.0,12,10,410,790,380,6.33
14853,BSB,VARANASI JN.,JU,JODHPUR JN.,1193.0,36,34,1045,1120,1515,25.25
14854,JU,JODHPUR JN.,BSB,VARANASI JN.,1194.0,37,35,570,630,1500,25.0
14863,BSB,VARANASI JN.,JU,JODHPUR JN.,1145.0,31,29,1095,1120,1465,24.42
14864,JU,JODHPUR JN.,BSB,VARANASI JN.,1146.0,32,30,570,525,1395,23.25
14865,BSB,VARANASI JN.,JU,JODHPUR JN.,1170.0,33,31,1095,1120,1465,24.42
14866,JU,JODHPUR JN.,BSB,VARANASI JN.,1171.0,33,31,570,530,1400,23.33
14887,KLK,KALKA,BME,BARMER,1082.0,40,38,1290,1215,1365,22.75
14888,BME,BARMER,KLK,KALKA,1082.0,40,38,405,355,1390,23.17
14889,BGKT,BHAGAT-KI-KO,MBF,MUNABAO,324.0,2,0,60,420,360,6.0
14890,MBF,MUNABAO,BGKT,BHAGAT-KI-KO,324.0,2,0,1140,1430,290,4.83
15001,MFP,MUZAFFARPUR,DDN,DEHRA DUN,1122.0,26,24,840,835,1435,23.92
15002,DDN,DEHRA DUN,MFP,MUZAFFARPUR,1124.0,26,24,925,970,1485,24.75
15003,CPA,KANPUR ANWAR,GKP,GORAKHPUR JN,551.0,31,29,1000,415,855,14.25
15004,GKP,GORAKHPUR JN,CPA,KANPUR ANWAR,551.0,28,26,1365,725,800,13.33
15005,GKP,GORAKHPUR JN,DDN,DEHRA DUN,813.0,16,14,1275,835,1000,16.67
15006,DDN,DEHRA DUN,GKP,GORAKHPUR JN,814.0,16,14,925,485,1000,16.67
15007,BCY,VARANASI CIT,LJN,LUCKNOW JN.,503.0,36,34,1020,345,765,12.75
15008,LJN,LUCKNOW JN.,BCY,VARANASI CIT,505.0,37,35,1390,745,795,13.25
15009,GKP,GORAKHPUR JN,GTNR,GOMTINAGAR F,329.0,16,14,1320,365,485,8.08
15011,LJN,LUCKNOW JN.,CDG,CHANDIGARH,698.0,20,18,1380,900,960,16.0
15012,CDG,CHANDIGARH,LJN,LUCKNOW JN.,698.0,20,18,1025,550,965,16.08
15013,JSM,JAISALMER,KGM,KATHGODAM,1255.0,39,37,45,305,1700,28.33
15014,KGM,KATHGODAM,JSM,JAISALMER,1256.0,39,37,1240,1395,1595,26.58
15015,GKP,GORAKHPUR JN,YPR,YESVANTPUR J,2501.0,23,21,395,585,3070,51.17
15016,YPR,YESVANTPUR J,GKP,GORAKHPUR JN,2504.0,23,21,455,810,3235,53.92
15017,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,1718.0,73,71,395,1150,2195,36.58
15018,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,1718.0,73,71,330,1085,2195,36.58
15019,GKP,GORAKHPUR JN,NTV,NAUTANWA,81.0,5,3,690,845,155,2.58
15020,NTV,NAUTANWA,GKP,GORAKHPUR JN,81.0,5,3,875,1020,145,2.42
15021,SHM,SHALIMAR,GKP,GORAKHPUR JN,1056.0,15,13,1222,985,1203,20.05
15022,GKP,GORAKHPUR JN,SHM,SHALIMAR,1055.0,15,13,820,595,1215,20.25
15023,GKP,GORAKHPUR JN,YPR,YESVANTPUR J,2460.0,24,22,530,675,3025,50.42
15024,YPR,YESVANTPUR J,GKP,GORAKHPUR JN,2473.0,24,22,1420,1185,2645,44.08
15025,MAU,MAU JN.,ANVT,ANAND VIHAR,823.0,11,9,645,225,1020,17.0
15026,ANVT,ANAND VIHAR,MAU,MAU JN.,823.0,11,9,775,400,1065,17.75
15027,HTE,HATIA,GKP,GORAKHPUR JN,859.0,50,48,1025,1045,1460,24.33
15028,GKP,GORAKHPUR JN,HTE,HATIA,864.0,50,48,445,490,1485,24.75
15029,GKP,GORAKHPUR JN,PUNE,PUNE JN.,1747.0,20,18,1045,245,2080,34.67
15030,PUNE,PUNE JN.,GKP,GORAKHPUR JN,1748.0,20,18,645,1200,1995,33.25
15033,HW,HARIDWAR JN,RMR,RAMNAGAR,243.0,8,6,1110,1415,305,5.08
15034,RMR,RAMNAGAR,HW,HARIDWAR JN,243.0,8,6,515,825,310,5.17
15035,DLI,DELHI JN.,KGM,KATHGODAM,278.0,10,8,960,1365,405,6.75
15036,KGM,KATHGODAM,DLI,DELHI JN.,277.0,10,8,525,925,400,6.67
15037,CNB,KANPUR CENTR,KSJ,KASGANJ JN.,246.0,20,18,645,1000,355,5.92
15038,KSJ,KASGANJ JN.,CNB,KANPUR CENTR,247.0,20,18,740,1075,335,5.58
15039,FBD,FARRUKHABAD,KSJ,KASGANJ JN.,107.0,8,6,410,565,155,2.58
15040,KSJ,KASGANJ JN.,FBD,FARRUKHABAD,107.0,8,6,530,650,120,2.0
15041,FBD,FARRUKHABAD,KSJ,KASGANJ JN.,107.0,9,7,1115,1250,135,2.25
15042,KSJ,KASGANJ JN.,FBD,FARRUKHABAD,107.0,9,7,1280,1420,140,2.33
15043,LJN,LUCKNOW JN.,KGM,KATHGODAM,341.0,11,9,1315,480,605,10.08
15044,KGM,KATHGODAM,LJN,LUCKNOW JN.,341.0,11,9,650,1120,470,7.83
15045,GKP,GORAKHPUR JN,OKHA,OKHA,2285.0,39,37,285,235,2830,47.17
15046,OKHA,OKHA,GKP,GORAKHPUR JN,2286.0,39,37,1260,1165,2785,46.42
15047,KOAA,KOLKATA,GKP,GORAKHPUR JN,855.0,19,17,870,465,1035,17.25
15048,GKP,GORAKHPUR JN,KOAA,KOLKATA,858.0,19,17,690,265,1015,16.92
15049,KOAA,KOLKATA,GKP,GORAKHPUR JN,879.0,27,25,870,585,1155,19.25
15050,GKP,GORAKHPUR JN,KOAA,KOLKATA,882.0,27,25,480,265,1225,20.42
15051,KOAA,KOLKATA,GKP,GORAKHPUR JN,873.0,22,20,870,495,1065,17.75
15052,GKP,GORAKHPUR JN,KOAA,KOLKATA,875.0,23,21,610,265,1095,18.25
15053,CPR,CHHAPRA JN.,LJN,LUCKNOW JN.,535.0,13,11,1175,540,805,13.42
15054,LJN,LUCKNOW JN.,CPR,CHHAPRA JN.,536.0,13,11,1250,670,860,14.33
15055,AF,AGRA  FORT,RMR,RAMNAGAR,440.0,21,19,790,1425,635,10.58
15056,RMR,RAMNAGAR,AF,AGRA  FORT,440.0,21,19,1060,300,680,11.33
15057,GKP,GORAKHPUR JN,ANVT,ANAND VIHAR,748.0,8,6,1255,660,845,14.08
15058,ANVT,ANAND VIHAR,GKP,GORAKHPUR JN,749.0,8,6,1030,450,860,14.33
15059,LKU,LALKUA JN.,ANVT,ANAND VIHAR,248.0,11,9,270,660,390,6.5
15060,ANVT,ANAND VIHAR,LKU,LALKUA JN.,248.0,11,9,845,1235,390,6.5
15063,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,1745.0,23,21,330,960,2070,34.5
15064,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,1745.0,23,21,1070,270,2080,34.67
15065,GKP,GORAKHPUR JN,PNVL,PANVEL,1743.0,23,21,330,980,2090,34.83
15066,PNVL,PANVEL,GKP,GORAKHPUR JN,1743.0,23,21,1070,270,2080,34.67
15067,GKP,GORAKHPUR JN,BDTS,BANDRA TERMI,1896.0,26,24,330,1205,2315,38.58
15068,BDTS,BANDRA TERMI,GKP,GORAKHPUR JN,1895.0,26,24,20,1055,2475,41.25
15069,GKP,GORAKHPUR JN,BNZ,BADSHAHNAGAR,333.0,11,9,240,605,365,6.08
15070,BNZ,BADSHAHNAGAR,GKP,GORAKHPUR JN,333.0,11,9,990,1405,415,6.92
15097,BGP,BHAGALPUR,JAT,JAMMU TAWI,1777.0,31,29,1430,755,2205,36.75
15098,JAT,JAMMU TAWI,BGP,BHAGALPUR,1780.0,31,29,1365,600,2115,35.25
15101,CPR,CHHAPRA JN.,CSMT,CST-MUMBAI,1878.0,19,17,1275,375,1980,33.0
15102,CSMT,CST-MUMBAI,CPR,CHHAPRA JN.,1882.0,19,17,935,280,2225,37.08
15103,GKP,GORAKHPUR JN,MUV,MANDUADIH,234.0,15,13,960,1305,345,5.75
15104,MUV,MANDUADIH,GKP,GORAKHPUR JN,234.0,16,14,325,670,345,5.75
15105,CPR,CHHAPRA JN.,GKP,GORAKHPUR JN,177.0,10,8,380,620,240,4.0
15106,GKP,GORAKHPUR JN,CPR,CHHAPRA JN.,179.0,16,14,1030,1290,260,4.33
15111,CPR,CHHAPRA JN.,BCY,VARANASI CIT,222.0,14,12,225,520,295,4.92
15112,BCY,VARANASI CIT,CPR,CHHAPRA JN.,222.0,14,12,1115,1430,315,5.25
15115,CPR,CHHAPRA JN.,DLI,DELHI JN.,996.0,21,19,675,715,1480,24.67
15116,DLI,DELHI JN.,CPR,CHHAPRA JN.,996.0,21,19,840,800,1400,23.33
15117,MUV,MANDUADIH,JBP,JABALPUR,492.0,11,9,505,1130,625,10.42
15118,JBP,JABALPUR,MUV,MANDUADIH,493.0,10,8,600,1235,635,10.58
15119,RMM,RAMESWARAM,MUV,MANDUADIH,2790.0,37,35,1380,285,3225,53.75
15120,MUV,MANDUADIH,RMM,RAMESWARAM,2785.0,37,35,1260,35,3095,51.58
15159,CPR,CHHAPRA JN.,DURG,DURG,1091.0,50,48,430,450,1460,24.33
15160,DURG,DURG,CPR,CHHAPRA JN.,1092.0,46,44,1225,1300,1515,25.25
15201,PPTA,PATLIPUTRA,RXL,RAXAUL JN.,204.0,17,15,1000,1425,425,7.08
15202,RXL,RAXAUL JN.,PPTA,PATLIPUTRA,204.0,17,15,315,670,355,5.92
15203,BJU,BARAUNI JN.,LJN,LUCKNOW JN.,670.0,37,35,1230,780,990,16.5
15204,LJN,LUCKNOW JN.,BJU,BARAUNI JN.,674.0,37,35,900,480,1020,17.0
15205,LJN,LUCKNOW JN.,JBP,JABALPUR,585.0,28,26,1050,430,820,13.67
15206,JBP,JABALPUR,LJN,LUCKNOW JN.,585.0,27,25,1240,570,770,12.83
15209,SHC,SAHARSA JN.,ASR,AMRITSAR JN.,1520.0,48,46,525,1020,1935,32.25
15210,ASR,AMRITSAR JN.,SHC,SAHARSA JN.,1523.0,48,46,395,930,1975,32.92
15211,DBG,DARBHANGA JN,ASR,AMRITSAR JN.,1485.0,48,46,1040,110,1950,32.5
15212,ASR,AMRITSAR JN.,DBG,DARBHANGA JN,1486.0,46,44,1145,180,1915,31.92
15215,MFP,MUZAFFARPUR,NKE,NARKATIAGANJ,159.0,13,11,435,695,260,4.33
15216,NKE,NARKATIAGANJ,MFP,MUZAFFARPUR,159.0,13,11,780,1010,230,3.83
15227,YPR,YESVANTPUR J,MFP,MUZAFFARPUR,2729.0,36,34,1435,240,3125,52.08
15228,MFP,MUZAFFARPUR,YPR,YESVANTPUR J,2729.0,35,33,445,710,3145,52.42
15231,BJU,BARAUNI JN.,G,GONDIA JN.,1523.0,32,30,600,1130,1970,32.83
15232,G,GONDIA JN.,BJU,BARAUNI JN.,1520.0,34,32,1260,510,2130,35.5
15233,KOAA,KOLKATA,DBG,DARBHANGA JN,534.0,10,8,640,1350,710,11.83
15234,DBG,DARBHANGA JN,KOAA,KOLKATA,534.0,10,8,945,190,685,11.42
15235,HWH,HOWRAH JN.,DBG,DARBHANGA JN,535.0,11,9,665,1350,685,11.42
15236,DBG,DARBHANGA JN,HWH,HOWRAH JN.,536.0,11,9,945,180,675,11.25
